,age,job,marital,education,balance,housing,duration,campaign,y_pred
0,59,admin.,married,secondary,2343,yes,1042,1,yes
1,56,admin.,married,secondary,45,no,1467,1,yes
2,41,technician,married,secondary,1270,yes,1389,1,yes
3,55,services,married,secondary,2476,yes,579,1,yes
4,54,admin.,married,tertiary,184,no,673,2,yes
5,42,management,single,tertiary,0,yes,562,2,yes
6,56,management,married,tertiary,830,yes,1201,1,yes
7,60,retired,divorced,secondary,545,yes,1030,1,yes
8,37,technician,married,secondary,1,yes,608,1,yes
9,28,services,single,secondary,5090,yes,1297,3,yes
10,38,admin.,single,secondary,100,yes,786,1,yes
11,30,blue-collar,married,secondary,309,yes,1574,2,yes
12,29,management,married,tertiary,199,yes,1689,4,yes
13,46,blue-collar,single,tertiary,460,yes,1102,2,yes
14,31,technician,single,tertiary,703,yes,943,2,yes
15,35,management,divorced,tertiary,3837,yes,1084,1,yes
16,32,blue-collar,single,primary,611,yes,541,3,yes
17,49,services,married,secondary,-8,yes,1119,1,yes
18,41,admin.,married,secondary,55,yes,1120,2,yes
19,49,admin.,divorced,secondary,168,yes,513,1,yes
20,28,admin.,divorced,secondary,785,yes,442,2,no
21,43,management,single,tertiary,2067,yes,756,1,yes
22,43,management,divorced,tertiary,388,yes,2087,2,yes
23,43,blue-collar,married,primary,-192,yes,1120,2,yes
24,37,unemployed,single,secondary,381,yes,985,2,yes
25,35,blue-collar,single,secondary,40,yes,617,4,yes
26,31,technician,single,tertiary,22,yes,483,3,yes
27,43,blue-collar,single,secondary,3,yes,929,3,yes
28,31,admin.,married,secondary,307,yes,538,1,yes
29,28,blue-collar,single,secondary,759,yes,710,1,yes
30,32,blue-collar,married,secondary,-1,yes,653,1,yes
31,60,technician,married,primary,65,yes,1028,2,yes
32,26,blue-collar,single,secondary,82,yes,654,1,yes
33,40,blue-collar,married,secondary,10,yes,1692,2,yes
34,33,blue-collar,divorced,primary,390,yes,665,2,yes
35,32,management,single,tertiary,311,no,757,2,yes
36,35,blue-collar,married,primary,414,no,504,4,yes
37,33,management,divorced,secondary,5,yes,1346,1,yes
38,38,management,married,tertiary,119,yes,568,4,yes
39,23,entrepreneur,single,primary,4,yes,395,2,yes
40,60,blue-collar,married,primary,1262,yes,1015,1,yes
41,48,management,married,tertiary,1949,yes,683,2,yes
42,45,entrepreneur,divorced,tertiary,-395,yes,470,1,yes
43,36,blue-collar,married,secondary,1165,yes,1001,4,yes
44,52,management,married,unknown,2240,yes,845,1,yes
